SMILES,MW,logP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,pchembl_value
C(#Cc1cccs1)c1ccccc1,184.034671256,3.147900000000001,0,1,0.0,0,0.0834780888276307
c1ccc(C2=NC(c3ccccc3)N3C2C3c2ccccc2)cc1,310.146998576,4.613600000000004,0,2,15.37,3,0.0810613991831735
C(#Cc1ccc(C2Nc3ccccc3C(c3ccccc3)(c3ccccc3)O2)o1)c1ccccc1,453.1728789760001,7.112200000000006,1,3,34.4,3,0.1055081445411091
C(#Cc1csc2ccccc12)c1ccccc1,234.05032132,4.301100000000003,0,1,0.0,0,0.1143225674130951
C(#Cc1cccc(-c2nc3ccccc3nc2-c2cccc(C#Cc3ccc(Sc4ccccc4)cc3)c2)c1)c1ccc(Sc2ccccc2)cc1,698.18504096,12.06579999999998,0,4,25.78,6,0.2643244794886673
C(#Cc1cccc(-c2nc3ccccc3nc2-c2cccc(C#Cc3ccc(Oc4ccccc4)cc3)c2)c1)c1ccc(Oc2ccccc2)cc1,666.2307282,11.347999999999985,0,4,44.24000000000001,6,0.1582028366646871
C(#Cc1ccccc1)c1ccccc1,178.07825032,3.086400000000001,0,0,0.0,0,0.1042089598226121
C(#Cc1cc(C#Cc2ccccc2)c2nonc2c1)c1ccccc1,320.094963004,4.022400000000002,0,3,38.92,0,0.1024040798537006
C(#Cc1ccc2c(c1)sc1ccccc12)c1ccccc1,284.065971384,5.454300000000004,0,1,0.0,0,0.2579155293609446
C(#Cc1ccc2noc(-c3ccccc3)c2c1)c1ccccc1,295.099714036,4.894600000000003,0,2,26.03,1,0.1491953365248725
C(#Cc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1)c1ccccc1,396.16264864,6.8105000000000055,1,1,28.68,3,0.129993139953589
C(#Cc1ccc(-c2nc(-c3ccc(Sc4ccccc4)cc3)c(-c3ccccc3)[nH]2)cc1)c1ccccc1,504.166019768,8.9617,1,2,28.68,5,0.1927574005879108
C(#Cc1ccc(-c2nc(-c3ccc(Oc4ccccc4)cc3)c(-c3ccccc3)[nH]2)cc1)c1ccccc1,488.188863388,8.602800000000002,1,2,37.91,5,0.1312716328902886
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,331.957032256,5.705400000000003,0,6,25.78,3,0.1417735831617318
O=Cc1c(-[n+]2ccc(C(=O)c3ccccc3)cc2)nc([O-])n1-c1ccccc1,369.11134134,2.2661000000000007,0,5,78.9,5,0.1110609668859348
O=Cc1c(-[n+]2ccc(-c3ccncc3)cc2)nc([O-])n1-c1ccccc1,342.111675688,2.0970999999999997,0,5,74.72,4,0.106239346222508
O=C1c2ccccc2C(=O)c2c1n[n+]([O-])n2CCCl,277.025418796,0.5307,0,5,78.9,2,0.1573273767242586
[O-][n+]1cccc(F)c1Cl,146.988719616,1.1125,0,1,26.94,0,-0.0054150804214721
O=[N+]([O-])c1nonc1/C(=N/O)n1cc(CCl)nn1,273.001329288,-0.0078000000000004,1,10,145.36,3,0.1486822801837056
O=[N+]([O-])c1nc(Br)n(Cc2ccccc2)n1,281.975237564,1.9971,0,5,73.85,3,-0.0015378356534537
O=Cc1csc(Cn2cnc([N+](=O)[O-])n2)c1,238.016061052,1.1086,0,7,90.92,4,0.0576207545379073
O=[N+]([O-])c1nc(Br)n(Cc2ccc(F)cc2)n1,299.965815752,2.1362,0,5,73.85,3,0.020838881759582
O=[N+]([O-])c1nc(Br)n(Cc2ccc(Cl)cc2)n1,315.936265212,2.650500000000001,0,5,73.85,3,0.0305466415066806
O=C(CCCn1cnc([N+](=O)[O-])n1)Nc1cccnc1Cl,310.058115892,1.6535999999999995,1,7,115.84,6,0.03895175374223
O=[N+]([O-])c1ncn(CCBr)n1,219.9595875,0.5811999999999998,0,5,73.85,3,-0.0252448604341992
O=C(Cn1nc([N+](=O)[O-])nc1Br)c1ccc2c(c1)OCCO2,367.975631488,1.6029,0,8,109.38,4,0.0245831170349586
O=C(Cn1nc([N+](=O)[O-])nc1Br)Nc1ccccc1,324.981051216,1.5875,1,6,102.95,4,-0.0338577827411463
O=C(Cn1nc([N+](=O)[O-])nc1Br)Nc1cccc([N+](=O)[O-])c1,369.966129424,1.4957,1,8,146.08999999999995,5,0.0114746183367967
O=C(Cn1nc([N+](=O)[O-])nc1Br)Nc1cccc(C(F)(F)F)c1,392.968435844,2.606300000000001,1,6,102.95,4,-0.0047957715683346
O=C(Cn1nc([N+](=O)[O-])nc1Br)Nc1ccccc1F,342.971629404,1.7266,1,6,102.95,4,0.005423907959021
O=C(Cn1nc([N+](=O)[O-])nc1Br)Nc1ccccc1-c1ccccc1,401.012351344,3.254500000000001,1,6,102.95,5,0.0244516796078743
O=C(Cn1nc([N+](=O)[O-])nc1Br)Nc1ccc(Cl)cc1,358.942078864,2.2409,1,6,102.95,4,-0.0227918433288862
O=C(Cn1nc([N+](=O)[O-])nc1Br)NCCc1ccccc1,353.012351344,1.3077,1,6,102.95,6,0.0254913672887384
O=C(Cn1nc([N+](=O)[O-])nc1Br)NC1CCCCC1,331.028001408,1.3977000000000002,1,6,102.95,4,0.0405071851465991
O=C(Cn1nc([N+](=O)[O-])nc1Br)NC(c1ccccc1)c1ccccc1,415.028001408,2.8546000000000014,1,6,102.95,6,0.0956909562847312
O=C(Cn1nc([N+](=O)[O-])nc1Br)c1cc2ccccc2oc1=O,377.959981424,1.9380999999999995,0,8,121.13,4,0.044158073718467
O=[N+]([O-])c1nc(Br)n(C23CC4CC(CC(C4)C2)C3)n1,326.03783782,2.874100000000001,0,5,73.85,2,0.0574251810849029
O=C(/C=C/c1ccccc1Cl)Nc1ncc([N+](=O)[O-])s1,308.997489796,3.356600000000001,1,5,85.13,4,0.0519097165411969
O=C(/C=C/c1ccc([N+](=O)[O-])cc1)Nc1ncc([N+](=O)[O-])s1,320.021540356,2.6114000000000006,1,7,128.26999999999998,5,0.0045665798828267
O=C(/C=C/c1ccc2c(c1)OCO2)Nc1ncc([N+](=O)[O-])s1,319.026291388,2.4319000000000006,1,7,103.59,4,-0.0082456906783926
O=Cc1csc(Cn2cc([N+](=O)[O-])cn2)c1,237.020812084,1.7136,0,6,78.03,4,0.159336646459774
O=C(Cn1cc([N+](=O)[O-])cn1)Nc1ccc(-c2noc(/C=C/c3ccccc3)n2)cc1,416.123302992,3.650400000000002,1,8,128.98,7,0.1144230308998708
O=CC(C=O)n1cc([N+](=O)[O-])cn1,183.02800564000003,-0.2698000000000002,0,6,95.1,4,0.1903291860033868
O=[N+]([O-])c1cccc(S(=O)(=O)C=C(Cl)Cl)c1,280.93163400000003,2.6450000000000005,0,4,77.28,3,0.1347649006458882
O=C(Oc1cccc([N+](=O)[O-])c1)c1ccc(S(=O)(=O)Cc2ccccc2F)c([N+](=O)[O-])c1,460.037664596,3.835200000000002,0,8,146.72,7,0.0912496161552501
O=[N+]([O-])c1cccc(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c1,335.005745972,3.4362000000000004,1,8,137.23,4,0.1092504572227971
O=[N+]([O-])c1cccc(NS(=O)(=O)/C=C/c2ccccc2)c1,304.051777864,3.0074000000000014,1,4,89.31,5,0.0870947955956876
O=C(Nc1cccc([N+](=O)[O-])c1)c1cc([N+](=O)[O-])ccc1Cl,321.015248036,3.4087000000000014,1,5,115.38,4,0.1047927272476727
O=C(/C=C/c1ccccc1)Nc1ccc2nc(SCC(=O)Nc3cccc([N+](=O)[O-])c3)sc2c1,490.076947056,5.587200000000004,2,7,114.23,8,0.0350482299864464
O=C(/C=C/c1ccccc1[N+](=O)[O-])Nc1cccc([N+](=O)[O-])c1,313.06987045200003,3.1549000000000005,1,5,115.38,5,-0.0129399209213393
O=C(/C=C/c1ccc(Br)cc1)Nc1cccc([N+](=O)[O-])c1,345.99530431200003,4.009200000000002,1,3,72.24000000000001,4,0.0276379590751141
O=C(Nc1cccc([N+](=O)[O-])c1)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccccc1Cl,465.072762912,4.3865000000000025,2,6,119.79999999999998,6,0.0445229203925814
O=C(Nc1cccc([N+](=O)[O-])c1)/C(=C/c1ccc2c(c1)OCO2)NC(=O)c1ccccc1Br,509.022247332,4.495600000000002,2,6,119.79999999999998,6,0.0384675787946498
O=C1c2ccccc2C(=O)c2c1ccc1c(=O)n(-c3cccc([N+](=O)[O-])c3)sc21,402.0310424199999,3.735800000000002,0,7,99.28,2,0.1194219338210993
O=C(/C=C/c1ccc(Cl)cc1Cl)NCCNc1c(Cl)cccc1[N+](=O)[O-],413.010074348,4.796500000000003,2,4,84.27000000000001,7,0.0725503637196555
O=C(/C=C/c1ccc(Cl)cc1Cl)N1CCN(c2c(Cl)cccc2[N+](=O)[O-])CC1,439.025724412,4.917000000000003,0,4,66.69,4,0.0591059528512888
O=Cc1ccccc1OCc1c(Cl)cccc1[N+](=O)[O-],291.02983548000003,3.639700000000002,0,4,69.44,5,0.0506225772439311
O=Cc1cc(Br)c(OCc2c(Cl)cccc2[N+](=O)[O-])c(Br)c1,446.850859616,5.164700000000002,0,4,69.44,5,0.1360963976848305
O=C(/C=C/c1cccc(Cl)c1Cl)Nc1cc2cccc([N+](=O)[O-])c2oc1=O,403.99667678,4.659900000000002,1,5,102.45,4,0.0659267416668177
O=C(/C=C/c1ccc(Cl)cc1)Nc1cc2cccc([N+](=O)[O-])c2oc1=O,370.03564913200006,4.006500000000002,1,5,102.45,4,0.0198979580351613
O=C(/C=C/c1ccc(F)cc1)c1ccc(/N=C/c2ccc(OC(=O)c3cccc([N+](=O)[O-])c3)cc2)cc1,494.127799928,6.599800000000005,0,6,98.86999999999998,8,0.0615123603372347
O=C(OC1(C#CC2(OC(=O)c3cccc([N+](=O)[O-])c3)CCCCC2)CCCCC1)c1cccc([N+](=O)[O-])c1,520.184565856,5.9260000000000055,0,8,138.87999999999997,6,0.1277511726493702
O=C(Nc1cc([N+](=O)[O-])ccc1Cl)c1cccc([N+](=O)[O-])c1,321.015248036,3.4087000000000014,1,5,115.38,4,0.1398599438736093
O=C(/C=C/c1ccc(F)cc1)c1ccc(NC(=S)NC(=O)c2cccc([N+](=O)[O-])c2)cc1,449.084555212,4.756800000000003,2,5,101.33999999999996,6,0.0697842081505924
O=C(/C=C/c1ccc(Br)cc1)Nn1c(-c2cccc([N+](=O)[O-])c2)nc2ccccc2c1=O,490.02766706000006,4.517700000000002,1,6,107.13,5,0.0927647049583532
O=C(N/N=C/c1ccc(-c2cc([N+](=O)[O-])ccc2Cl)o1)c1cccc([N+](=O)[O-])c1,414.036711752,4.180300000000003,1,7,140.88,6,0.1036793649268978
O=C(N/N=C/c1cc([N+](=O)[O-])ccc1F)c1cccc([N+](=O)[O-])c1,332.05569760800006,2.4060000000000006,1,6,127.73999999999998,5,0.1212198138494541
O=C(N/N=C/c1cc([N+](=O)[O-])ccc1Cl)c1cccc([N+](=O)[O-])c1,348.02614706800006,2.920300000000001,1,6,127.73999999999998,5,0.1302964317634757
O=[N+]([O-])c1cccc(/C=N/n2c(CCl)nnc2CCl)c1,313.01332988800004,2.546100000000001,0,6,86.21000000000001,5,0.2430006795379271
O=c1/c(=C/c2cccc([N+](=O)[O-])c2)sc2nc(/C=C/c3cccs3)nn12,382.01943218,2.838800000000001,0,8,90.4,4,0.1143792892379399
O=c1/c(=C/c2cccc([N+](=O)[O-])c2)sc2nc(/C=C/c3ccc(F)cc3)nn12,394.053589432,2.916400000000001,0,7,90.4,4,0.1188203744378711
O=C1OC(c2cc([N+](=O)[O-])ccc2Cl)=N/C1=C\c1cccc([N+](=O)[O-])c1,373.010162656,3.500900000000001,0,7,124.94,4,0.1430228123105199
O=C(Nc1ccc(S(=O)(=O)Nc2nccc(/C=C/c3cccc([N+](=O)[O-])c3)n2)cc1)c1ccccc1,501.11068970800005,4.608300000000003,2,7,144.19,8,0.0759724742646491
O=[N+]([O-])c1cccc(/C=C/c2ccc3c(Cl)ccc(O)c3n2)c1,326.045819892,4.672400000000003,1,4,76.26,3,0.1008328428172399
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc(Cl)cc1,287.03492086,4.144300000000002,0,3,60.21,4,0.0677590902947271
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Oc1ccc(Br)cc1Br,424.88983196800007,4.738600000000003,0,4,69.44,4,0.1061771646564702
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nnc(C2CCCCC2)s1,358.109961436,4.145900000000003,1,6,98.01999999999998,5,0.0906356183344014
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nnc(C(F)(F)F)s1,344.019095744,3.117000000000001,1,6,98.01999999999998,4,0.1035979149357161
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc2n(n1)C(c1ccc(F)cc1)C=C(c1ccccc1)N2,482.150266688,5.033300000000003,2,7,114.98,6,0.0965526181632732
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc2n(n1)C(c1ccc(Cl)cc1)C=C(c1ccccc1)N2,498.120716148,5.547600000000004,2,7,114.98,6,0.0979411769331268
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc2n(n1)C(c1ccccc1)C=C(c1ccc(Cl)cc1)N2,498.120716148,5.547600000000004,2,7,114.98,6,0.0951716860357863
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc2n(n1)C(c1ccc(F)cc1)C=C(c1ccc(Cl)cc1)N2,516.111294336,5.686700000000003,2,7,114.98,6,0.1012897615471137
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc2ccccc2s1,325.05211221200005,3.8564000000000016,1,5,85.13,4,0.0702331390879038
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc2c(s1)CCCC2,329.08341234000005,3.5820000000000016,1,5,85.13,4,0.0356316787495696
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc(-c2ccccc2)cs1,351.06776227600005,4.370200000000002,1,5,85.13,5,0.0598685958438376
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1nc(-c2ccc(Br)cc2)cs1,428.97827434400006,5.1327000000000025,1,5,85.13,5,0.0825084642847211
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cccc([N+](=O)[O-])c1,313.0698704520001,3.1549000000000014,1,5,115.38,5,0.0310347891064129
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cccc(F)c1,286.07537043200006,3.385800000000001,1,3,72.24000000000001,4,0.024421682897507
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cccc(Cl)c1Cl,336.00684754,4.553500000000002,1,3,72.24,4,0.0727917182709897
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cccc(Cl)c1,302.045819892,3.900100000000002,1,3,72.24000000000001,4,0.0334251147865882
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cccc(C(F)(F)F)c1,336.07217687200006,4.265500000000003,1,3,72.24000000000001,4,0.0435843122782386
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccccc1Cl,302.045819892,3.900100000000002,1,3,72.24,4,0.0670955511646881
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(F)cc1F,304.06594862000003,3.524900000000001,1,3,72.24,4,0.0534087872709168
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Cl)cc1Cl,336.00684754,4.553500000000002,1,3,72.24,4,0.0762861438316283
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Cl)cc1C(=O)c1ccccc1,406.0720346400001,5.131100000000004,1,4,89.31,6,0.0761615257700028
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Br)cc1F,363.9858825,4.148300000000002,1,3,72.24,4,0.0875627187844639
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Br)cc1Br,423.90581638,4.771700000000003,1,3,72.24,4,0.1033567515815443
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Cl)cn1,303.04106886000005,3.295100000000001,1,4,85.13,4,0.0311525453143211
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Br)cn1,346.99055328000003,3.404200000000001,1,4,85.13,4,0.0534252727151414
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(I)cc1,393.981440212,3.851300000000002,1,3,72.24000000000001,4,0.0188847830274832
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Br)cc1,345.99530431200003,4.009200000000002,1,3,72.24000000000001,4,0.0339898049836673
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(F)c(F)c1,304.06594862000003,3.524900000000001,1,3,72.24000000000001,4,0.0383385207100309
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Oc2ccc(Br)c3ccccc23)c(Cl)c1,521.998196772,7.608100000000005,1,4,81.47,6,0.0459084412519658
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Cl)c(Cl)c1,336.00684754,4.553500000000002,1,3,72.24000000000001,4,0.0493099449916787
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Cl)c2ncsc12,359.01313986,4.509800000000002,1,5,85.13,4,0.0982572470867005
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cc(Cl)ccc1Cl,336.00684754,4.553500000000002,1,3,72.24,4,0.0791049211086092
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cc(C(F)(F)F)ccc1Cl,370.03320452,4.918900000000002,1,3,72.24,4,0.0966690997234321
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1c(Cl)ccc2nsnc12,360.008388828,3.9048000000000016,1,6,98.01999999999998,4,0.0982473898107724
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1c(Cl)cccc1Cl,336.00684754,4.553500000000002,1,3,72.24,4,0.0903900362013653
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nn1c(-c2cccs2)nc2ccccc2c1=O,418.073575928,3.8167000000000018,1,7,107.13,5,0.112707323163089
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nn1c(-c2cccc(Cl)c2)nc2ccccc2c1=O,446.07818264,4.4086000000000025,1,6,107.13,5,0.0986941963351683
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nn1c(-c2ccccc2F)nc2ccccc2c1=O,430.10773318,3.894300000000002,1,6,107.13,5,0.0849980425363103
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nn1c(-c2ccc(F)cc2)nc2ccccc2c1=O,430.10773318,3.894300000000002,1,6,107.13,5,0.0903729771656535
O=C(/C=C/c1cccc([N+](=O)[O-])c1)NCCc1ccc(F)cc1,314.10667056000005,3.1060000000000016,1,3,72.24,6,0.0890911913889348
O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cc2cc(Br)ccc2oc1=O,413.985133552,4.115600000000002,1,5,102.45,4,0.1008121085471843
O=C(/C=C/c1cccc([N+](=O)[O-])c1)N1CCN(c2cccc(Cl)c2)CC1,371.103669116,3.6102000000000025,0,4,66.69,4,0.0721120123586635
O=C(/C=C/c1cccc([N+](=O)[O-])c1)N1CCN(c2cccc(C(F)(F)F)c2)CC1,405.130026096,3.9756000000000022,0,4,66.69,4,0.0980159137794954
O=C(/C=C/c1cccc([N+](=O)[O-])c1)N1CCN(c2ccccc2F)CC1,355.133219656,3.095900000000002,0,4,66.69,4,0.0600773831451766
O=C(/C=C/c1cccc([N+](=O)[O-])c1)N1CCN(c2ccc(F)cc2)CC1,355.133219656,3.095900000000001,0,4,66.69,4,0.0624827709129231
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1cc2cc([N+](=O)[O-])ccc2oc1=O,366.04880066,3.5055000000000014,0,7,133.55999999999997,5,0.0853409440250073
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1cc2cc(Cl)ccc2oc1=O,355.0247501,4.250700000000002,0,5,90.42,4,0.0801301202933893
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1cc2cc(Br)ccc2oc1=O,398.97423452,4.359800000000002,0,5,90.42,4,0.0892303191907734
O=C(/C=C/c1cccc([N+](=O)[O-])c1)/C=C/c1cccc([N+](=O)[O-])c1,324.074621484,3.798700000000002,0,5,103.35,6,0.064886013023625
O=C(O)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccc(Br)o1,379.964398108,2.8058000000000005,2,5,122.68,5,0.1140520977827534
O=C(O)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,346.03564913200006,3.103700000000001,2,4,109.54,5,0.1067693660008055
O=C(Nc1ccccc1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,421.082933672,4.657800000000003,2,4,101.33999999999996,6,0.0531801367088175
O=C(Nc1cccc([N+](=O)[O-])c1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,466.06801188,4.5660000000000025,2,6,144.48,7,0.0845875634727702
O=C(Nc1cccc(F)c1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,439.07351186,4.796900000000003,2,4,101.33999999999996,6,0.0644900437002979
O=C(Nc1cccc(C(=O)O)c1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccc(Br)o1,499.0015118879999,4.058100000000001,3,6,151.77999999999997,7,0.0654597107314659
O=C(Nc1cccc(C(=O)O)c1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccc(Br)cc1,509.022247332,4.465100000000002,3,5,138.63999999999996,7,0.0507935287512444
O=C(Nc1ccc(C(=O)O)cc1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccc(Br)o1,499.001511888,4.058100000000002,3,6,151.77999999999997,7,0.0617747465764328
O=C(Nc1ccc(Br)cc1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,498.99344574,5.420300000000004,2,4,101.33999999999996,6,0.0721062339555332
O=C(Nc1ccc(F)c(Cl)c1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,473.034539508,5.450300000000003,2,4,101.33999999999996,6,0.0756929440132227
O=C(Nc1ccc(Cl)c(Cl)c1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,489.004988968,5.964600000000004,2,4,101.33999999999996,6,0.0777957091611509
O=C(NCc1ccccc1)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,435.098583736,4.335500000000003,2,4,101.33999999999996,7,0.0644477891274079
O=C(NCCO)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,389.077848292,2.1276,3,5,121.57,7,0.0730686779827883
O=C(NCCCO)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,403.093498356,2.5177000000000005,3,5,121.57,8,0.0632165856222081
O=C(O)CCCNC(=O)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,431.088412976,3.000100000000001,3,5,138.64,9,0.0801259351999457
O=C(O)CCNC(=O)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,417.072762912,2.6100000000000003,3,5,138.64,8,0.0448086114414629
O=C(O)CNC(=O)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Cl,403.057112848,2.2199,3,5,138.63999999999996,7,0.1078748255055346
O=C(/C(=C/c1cccc([N+](=O)[O-])c1)n1cncn1)c1ccc(Cl)cc1Cl,388.01299554,4.374100000000002,0,6,90.92,5,0.1033918893711673
O=C(Nc1ccccc1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Br,465.032418092,4.766900000000002,2,4,101.33999999999996,6,0.0491492119104891
O=C(Nc1cccc([N+](=O)[O-])c1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)C1CCCCC1,438.153934424,4.179100000000004,2,6,144.48,7,0.0894441838389805
O=C(Nc1cccc(F)c1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)C1CCCCC1,411.159434404,4.410000000000004,2,4,101.33999999999996,6,0.0863741734906081
O=C(Nc1ccc2ccccc2c1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1Br,515.0480681560001,5.920100000000004,2,4,101.33999999999996,6,0.0762241959510112
O=C(Nc1cccc([N+](=O)[O-])c1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1cccs1,438.063405168,3.9741000000000017,2,7,144.48,7,0.0833193526945817
O=C(Nc1cccc([N+](=O)[O-])c1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1cccc(Cl)c1,466.06801188,4.5660000000000025,2,6,144.48,7,0.0840027125971227
