Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,262.165,2.961900000000001,2.0,2.0,2.0,50.739999999999995,1.0,15.0,0.1111111111111111,3.015936907387263,7.3
CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,336.435,4.081000000000003,1.0,2.0,6.0,49.410000000000004,3.0,25.0,0.3333333333333333,1.6655365209379542,5.47
COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,338.407,3.090600000000002,0.0,3.0,5.0,49.85,3.0,25.0,0.3,1.6218662252248779,5.13
O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,449.4850000000002,0.09539999999999998,3.0,8.0,5.0,134.27,4.0,31.0,0.5,1.3337961270470906,5.32
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(N)=O,672.8279999999999,0.6726000000000059,6.0,9.0,19.0,231.44,2.0,48.0,0.6666666666666666,2.267242695371268,5.37
S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,394.72499999999997,4.909300000000003,1.0,2.0,2.0,27.63,3.0,22.0,0.125,1.7217438288011748,6.0
CC(C)[C@H](NS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,461.9710000000002,3.050600000000001,3.0,4.0,9.0,108.13,3.0,31.0,0.2727272727272727,1.7399447936614836,7.89
CS[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,341.4360000000001,2.4763,1.0,4.0,5.0,62.300000000000004,3.0,24.0,0.2777777777777778,1.6538961663544927,5.16
CC(C)CC[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)CC(C)C,400.51600000000013,2.6386000000000003,2.0,4.0,11.0,92.34,1.0,27.0,0.5789473684210527,2.9632202887227037,6.58
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C(C)C,388.91700000000003,2.372700000000001,2.0,4.0,9.0,92.34,1.0,25.0,0.5294117647058824,2.9360388177977934,7.51
C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1,326.42100000000005,3.8079000000000027,1.0,3.0,4.0,49.410000000000004,3.0,23.0,0.2222222222222222,1.624824828329246,5.72
N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,308.38800000000003,1.3035,2.0,5.0,4.0,89.81,2.0,20.0,0.0,2.4247954315110065,5.55
CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,276.192,3.352000000000001,2.0,2.0,3.0,50.739999999999995,1.0,16.0,0.2,3.0909934594112154,7.7
CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,253.75799999999998,2.8603700000000005,2.0,2.0,1.0,39.45,2.0,16.0,0.2727272727272727,2.336465425195662,6.64
N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,273.28299999999996,2.979770000000001,2.0,2.0,1.0,39.45,2.0,18.0,0.2727272727272727,2.3038525958703806,7.1
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@H](C(=O)O)C(C)C,715.893,2.2965000000000044,6.0,9.0,20.0,225.64999999999998,2.0,51.0,0.6944444444444444,2.29164591635,5.44
N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,315.24199999999996,3.512270000000001,3.0,2.0,2.0,48.24,1.0,20.0,0.2,3.240254392628769,6.5
C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,329.26899999999995,3.6927000000000003,2.0,2.0,2.0,50.739999999999995,1.0,21.0,0.2727272727272727,3.4595542352201747,7.22
O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccccc1,294.354,2.7398000000000007,1.0,2.0,4.0,49.410000000000004,3.0,22.0,0.2222222222222222,1.5737799160648165,5.0
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,502.4770000000002,-2.793699999999994,7.0,9.0,13.0,237.52999999999994,1.0,35.0,0.65,2.9924469053916143,7.15
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,502.4770000000002,-2.793699999999994,7.0,9.0,13.0,237.52999999999994,1.0,35.0,0.65,2.9924469053916143,8.92
COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,275.33299999999997,2.5336000000000003,2.0,4.0,4.0,73.11,2.0,19.0,0.07692307692307693,2.257981559793267,6.55
N/C(S)=N/N=C/c1cccc(Br)c1,258.144,2.0275,2.0,2.0,2.0,50.739999999999995,1.0,13.0,0.0,2.745057998208872,5.89
Cc1ccc(NC(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,294.354,3.3705200000000026,1.0,2.0,3.0,49.410000000000004,3.0,22.0,0.2222222222222222,1.6519711714124161,5.28
CON(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,324.38,3.013600000000001,0.0,3.0,5.0,49.85,3.0,24.0,0.2631578947368421,1.6793354844032788,5.21
CN(Cc1ccc(C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,376.3780000000001,4.100800000000003,0.0,2.0,4.0,40.620000000000005,3.0,27.0,0.3,1.6270200653359639,5.44
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,492.5290000000002,-1.1649999999999963,6.0,8.0,10.0,183.15999999999997,2.0,35.0,0.5217391304347826,2.02581462719734,8.34
