Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,0.08130851165672323,0.6172354185715891,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.05769230769230768,0.1111111111111111,0.4572820058427358,0.3239436619718309
CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,0.11484631404785522,0.6670292974529068,0.03225806451612903,0.02857142857142857,0.09090909090909091,0.042415174993320856,0.1875,0.12179487179487178,0.3333333333333333,0.25253175624170143,0.06619718309859146
COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,0.11573680208226092,0.6229618703739532,0.0,0.05714285714285715,0.07575757575757576,0.0428853860539674,0.1875,0.12179487179487178,0.3,0.2459103837679318,0.018309859154929553
O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,0.16589584360645865,0.4896917193371176,0.0967741935483871,0.19999999999999998,0.07575757575757576,0.13310179000801492,0.25,0.16025641025641024,0.5,0.20223265300277513,0.04507042253521132
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(N)=O,0.2667499354260706,0.515373988026508,0.1935483870967742,0.22857142857142854,0.2878787878787879,0.23694362810579742,0.125,0.2692307692307693,0.6666666666666666,0.3437635795127541,0.05211267605633807
S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,0.14116809271190642,0.7038841539245317,0.03225806451612903,0.02857142857142857,0.030303030303030304,0.019139727491317114,0.1875,0.10256410256410256,0.125,0.2610540141067606,0.14084507042253513
CC(C)[C@H](NS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,0.1715340959378936,0.6211820873739954,0.0967741935483871,0.08571428571428572,0.13636363636363635,0.10516697835960455,0.1875,0.16025641025641024,0.2727272727272727,0.2638136786740425,0.4070422535211268
CS[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,0.11710459531563566,0.5956288529521021,0.03225806451612903,0.08571428571428572,0.07575757575757576,0.056190221747261536,0.1875,0.11538461538461539,0.2777777777777778,0.2507668237592138,0.022535211267605604
CC(C)CC[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)CC(C)C,0.14378311107257763,0.6028503224744306,0.06451612903225806,0.08571428571428572,0.16666666666666669,0.08829281325140259,0.0625,0.1346153846153846,0.5789473684210527,0.44928901284747186,0.22253521126760567
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C(C)C,0.13854539773024904,0.5910192149822115,0.06451612903225806,0.08571428571428572,0.13636363636363635,0.08829281325140259,0.0625,0.12179487179487178,0.5294117647058824,0.4451677070390278,0.35352112676056324
C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1,0.11032433272101,0.6548778290206954,0.03225806451612903,0.05714285714285715,0.06060606060606061,0.042415174993320856,0.1875,0.10897435897435898,0.2222222222222222,0.24635897274211194,0.10140845070422533
N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,0.10218124411835369,0.5434456153933411,0.06451612903225806,0.11428571428571428,0.06060606060606061,0.08558909965268498,0.125,0.08974358974358973,0.0,0.3676520220618249,0.07746478873239426
CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,0.08764262710226528,0.634592752278677,0.06451612903225806,0.02857142857142857,0.045454545454545456,0.04383649479027516,0.0625,0.0641025641025641,0.2,0.4686622216034147,0.3802816901408451
CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,0.07751219679604937,0.6127178843719463,0.06451612903225806,0.02857142857142857,0.015151515151515152,0.03177130643868554,0.125,0.0641025641025641,0.2727272727272727,0.35425926016556886,0.23098591549295766
N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,0.08632902178173472,0.6180305366268202,0.06451612903225806,0.02857142857142857,0.015151515151515152,0.03177130643868554,0.125,0.07692307692307691,0.2727272727272727,0.34931444156839353,0.2957746478873239
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@H](C(=O)O)C(C)C,0.28619662264801893,0.5876287283672923,0.1935483870967742,0.22857142857142854,0.30303030303030304,0.2307560780122895,0.125,0.28846153846153844,0.6944444444444444,0.3474636418324949,0.06197183098591552
N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.10527627707363599,0.6417238978137576,0.0967741935483871,0.02857142857142857,0.030303030303030304,0.041164841036601646,0.0625,0.08974358974358973,0.2,0.4912934453787084,0.21126760563380276
C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.11161039251917804,0.649752053980817,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.09615384615384615,0.2727272727272727,0.524544100487095,0.3126760563380281
O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccccc1,0.09584396771122905,0.6073531734643237,0.03225806451612903,0.02857142857142857,0.06060606060606061,0.042415174993320856,0.1875,0.10256410256410256,0.2222222222222222,0.23861944701931093,0.0
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,0.18982522591844014,0.3611424427076702,0.22580645161290322,0.22857142857142854,0.19696969696969696,0.24345177664974604,0.0625,0.18589743589743588,0.65,0.45372040750493914,0.5521126760563381
COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,0.08725473195948914,0.5981783920995416,0.06451612903225806,0.08571428571428572,0.06060606060606061,0.06774245257814585,0.125,0.08333333333333333,0.07692307692307693,0.3423593886963025,0.2183098591549295
N/C(S)=N/N=C/c1cccc(Br)c1,0.07949276501050347,0.5756596876925762,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.044871794871794865,0.0,0.41621083552726923,0.12535211267605628
Cc1ccc(NC(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,0.09584396771122905,0.6354167918076574,0.03225806451612903,0.02857142857142857,0.045454545454545456,0.042415174993320856,0.1875,0.10256410256410256,0.2222222222222222,0.2504749524010403,0.03943661971830992
CON(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.10940268663671887,0.6195357880990344,0.0,0.05714285714285715,0.07575757575757576,0.0428853860539674,0.1875,0.11538461538461539,0.2631578947368421,0.2546239810678433,0.029577464788732355
CN(Cc1ccc(C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.1328832124039746,0.6679102900378859,0.0,0.02857142857142857,0.06060606060606061,0.03302164039540475,0.1875,0.1346153846153846,0.3,0.24669181871103288,0.06197183098591552
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,0.1853330479436592,0.43361075700844937,0.1935483870967742,0.19999999999999998,0.15151515151515152,0.1853486508148543,0.125,0.18589743589743588,0.5217391304347826,0.3071578011707594,0.47042253521126753
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NC1CC1,0.2590791847970393,0.589995839757236,0.16129032258064516,0.19999999999999998,0.2727272727272727,0.19089500400748055,0.1875,0.2628205128205128,0.7058823529411765,0.26766547353135445,0.09295774647887323
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CC(=O)O)C(=O)O,0.29340135722659055,0.5350672869210404,0.22580645161290322,0.2571428571428571,0.3181818181818182,0.27061715201709846,0.125,0.2948717948717948,0.6571428571428571,0.3471910118275229,0.03943661971830992
Cc1ccc(S(=O)(=O)N[C@H](C(=O)N[C@@H](C=O)CC(C)C)C(C)C)cc1,0.12932532435981509,0.575669476499076,0.06451612903225806,0.08571428571428572,0.13636363636363635,0.08829281325140259,0.0625,0.12179487179487178,0.5555555555555556,0.44516770703902775,0.35915492957746464
FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,0.13624647552783553,0.7152881134967609,0.03225806451612903,0.02857142857142857,0.030303030303030304,0.019139727491317114,0.1875,0.12179487179487178,0.17647058823529413,0.2613730079403941,0.10845070422535208
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1CCC[C@H]2SC[C@@H](C(=O)N[C@H]3CC(=O)OC3O)N2C1=O,0.1826119115870016,0.38109381013719645,0.16129032258064516,0.22857142857142854,0.10606060606060606,0.194197168047021,0.1875,0.17307692307692307,0.6842105263157895,0.25700270639743444,0.38732394366197187
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(C)(=O)=O)C(C)C,0.09496205942969033,0.498350363631912,0.06451612903225806,0.08571428571428572,0.12121212121212122,0.08829281325140259,0.0,0.08333333333333333,0.8333333333333334,0.7232818571597033,0.15211267605633805
C#CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,0.2581688278612574,0.5664493106677951,0.16129032258064516,0.19999999999999998,0.2727272727272727,0.19089500400748052,0.125,0.2628205128205128,0.6470588235294118,0.34420977194157615,0.11267605633802813
C/C(=N\N=C(\N)S)c1ccccc1Br,0.08582688045604554,0.5930170213996642,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.05128205128205128,0.1111111111111111,0.45578561639239884,0.05774647887323947
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,0.16499406642354378,0.5156365060190016,0.0967741935483871,0.1714285714285714,0.10606060606060606,0.13310179000801492,0.1875,0.16666666666666666,0.5454545454545454,0.24131638354560184,0.2901408450704225
O=C(CN1CCCC[C@H](NC(=O)OCc2ccccc2)C1=O)N[C@H]1CC(=O)OC1O,0.1523258355324596,0.48740469818217197,0.0967741935483871,0.1714285714285714,0.09090909090909091,0.13310179000801492,0.1875,0.15384615384615383,0.5,0.2272290206752767,0.10985915492957743
N/C(S)=N/N=C/c1ccc(-c2cccc(Cl)c2)o1,0.0892502018499754,0.6268684940588604,0.06451612903225806,0.05714285714285715,0.045454545454545456,0.057878706919583196,0.125,0.07692307692307691,0.0,0.3343091648594676,0.2605633802816901
C/C(=N\N=C(\N)S)c1ccc(Br)s1,0.08854937151052425,0.5957534377620991,0.06451612903225806,0.05714285714285715,0.030303030303030304,0.04383649479027516,0.0625,0.044871794871794865,0.14285714285714285,0.4314116701566648,0.05915492957746471
CN(Cc1ccc(S(=O)(=O)C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.1618127843736511,0.6356383747911521,0.0,0.08571428571428572,0.07575757575757576,0.06950574405557038,0.1875,0.15384615384615383,0.3,0.2512902600575147,0.05211267605633807
N/C(S)=N/N=C/c1ccc(-c2ccc(Br)cc2)o1,0.10932275946527376,0.631722852191245,0.06451612903225806,0.05714285714285715,0.045454545454545456,0.057878706919583196,0.125,0.07692307692307691,0.0,0.3299492483319677,0.2183098591549295
C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,0.08090526327197459,0.6044209809718933,0.06451612903225806,0.02857142857142857,0.030303030303030304,0.04383649479027516,0.0625,0.07051282051282051,0.2,0.46745161268877233,0.2492957746478872
NC(=S)N1CCC(c2cccc(Br)c2)=N1,0.09125063896580568,0.5789967808174971,0.03225806451612903,0.02857142857142857,0.015151515151515152,0.034090301896874155,0.125,0.05769230769230768,0.2,0.34275101588378887,0.23943661971830987
CC1CN(C(=N)S)N=C1c1ccc(Cl)c(Cl)c1,0.0930663856120254,0.641790639676256,0.06451612903225806,0.02857142857142857,0.015151515151515152,0.03177130643868554,0.125,0.07051282051282051,0.2727272727272727,0.3577669374889453,0.304225352112676
N/C(S)=N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,0.0892502018499754,0.6268684940588604,0.06451612903225806,0.05714285714285715,0.045454545454545456,0.057878706919583196,0.125,0.07692307692307691,0.0,0.3299492483319677,0.21408450704225346
Cn1c(/C=N/N=C(/N)S)cc2ccccc21,0.06782791363891709,0.5636105567828624,0.06451612903225806,0.05714285714285715,0.030303030303030304,0.04910499599251936,0.125,0.0641025641025641,0.09090909090909091,0.3672209003480662,0.07746478873239426
CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,0.2536554262872792,0.5836553628198865,0.16129032258064516,0.19999999999999998,0.2727272727272727,0.19089500400748052,0.125,0.2564102564102564,0.696969696969697,0.3442440929943786,0.10563380281690138
CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,0.08723937871751664,0.6217783146789813,0.06451612903225806,0.02857142857142857,0.045454545454545456,0.04383649479027516,0.0625,0.07692307692307691,0.2727272727272727,0.4788827639962798,0.3239436619718309
CC1CN(C(=N)S)N=C1c1cccc(Br)c1,0.0975847544113477,0.6175722425043311,0.06451612903225806,0.02857142857142857,0.015151515151515152,0.03177130643868554,0.125,0.0641025641025641,0.2727272727272727,0.35425926016556886,0.2957746478873239
CCCCCC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,0.129255331639058,0.6956838037522265,0.03225806451612903,0.02857142857142857,0.09090909090909091,0.019492385786802027,0.125,0.09615384615384615,0.5,0.2908048969375826,0.11971830985915488
CN(Cc1ccc([S+]([O-])C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.15458818089370333,0.6504951133832995,0.0,0.05714285714285715,0.07575757575757576,0.05766497461928933,0.1875,0.14743589743589744,0.3,0.24492665123395754,0.00845070422535199
C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,0.2590791847970393,0.5910459117272111,0.16129032258064516,0.19999999999999998,0.2878787878787879,0.19089500400748052,0.125,0.2628205128205128,0.6470588235294118,0.3440002691683342,0.08028169014084507
CC(C)[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@H](C)C=O,0.1121125338448673,0.5224753221963391,0.06451612903225806,0.08571428571428572,0.10606060606060606,0.08829281325140259,0.0625,0.10256410256410256,0.42857142857142855,0.44966310501533535,0.16901408450704225
COc1ccc2ccccc2c1/C=N/N=C(/N)S,0.08003012847954137,0.5934263714896544,0.06451612903225806,0.05714285714285715,0.045454545454545456,0.05370024044883782,0.125,0.07692307692307691,0.07692307692307693,0.3907269380875658,0.176056338028169
CC(C)[C@H](NS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](C=O)Cc1ccccc1,0.1609575184825941,0.6220052370114759,0.06451612903225806,0.08571428571428572,0.13636363636363635,0.08829281325140259,0.1875,0.16025641025641024,0.25,0.2675023798075949,0.4014084507042254
NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,0.08673227016648337,0.603215177989422,0.03225806451612903,0.02857142857142857,0.015151515151515152,0.034090301896874155,0.125,0.0641025641025641,0.2,0.34680436653774627,0.3126760563380281
C[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,0.10217808315677113,0.6323146300387311,0.03225806451612903,0.02857142857142857,0.06060606060606061,0.042415174993320856,0.1875,0.10897435897435898,0.2631578947368421,0.24635897274211194,0.05633802816901412
Cc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,0.10851219860231318,0.6363022338501364,0.0,0.02857142857142857,0.06060606060606061,0.03302164039540475,0.1875,0.11538461538461539,0.3,0.24795815484587086,0.007042253521126751
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O,0.15323619246824152,0.49399879419701537,0.12903225806451613,0.1714285714285714,0.12121212121212122,0.14249532460593103,0.125,0.15384615384615383,0.5,0.28053962797763987,0.30845070422535226
O=C1C[C@H](NC(=O)[C@@H]2CCC[C@@H]3CCC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,0.17041782493330387,0.5283886512136987,0.0967741935483871,0.1714285714285714,0.07575757575757576,0.13310179000801492,0.25,0.17307692307692307,0.5652173913043478,0.21200773057723085,0.343661971830986
Cc1csc2nc([C@H](C)NC(=O)/C=C(\Sc3ccccc3)c3ccccc3)oc(=O)c12,0.16548220920508155,0.7332158676553353,0.03225806451612903,0.14285714285714285,0.09090909090909091,0.06676997061180868,0.25,0.16025641025641024,0.125,0.2395955343246443,0.2605633802816901
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)O,0.2671942763113928,0.5420395868233747,0.1935483870967742,0.22857142857142854,0.2878787878787879,0.2307560780122895,0.125,0.2692307692307693,0.6666666666666666,0.3437635795127541,0.23098591549295766
CC(C)[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,0.164103578389138,0.5982985274520387,0.0967741935483871,0.08571428571428572,0.13636363636363635,0.10516697835960455,0.1875,0.16025641025641024,0.2727272727272727,0.2638136786740425,0.3718309859154928
CN(Cc1cccc([N+](=O)[O-])c1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0.12249719577551041,0.6184946150440592,0.0,0.08571428571428572,0.07575757575757576,0.07912369756879505,0.1875,0.1282051282051282,0.2631578947368421,0.2516678059392746,0.022535211267605604
Cc1ccc(S(=O)(=O)N[C@H](C(=O)N[C@@H](C=O)Cc2ccccc2)C(C)C)cc1,0.14468624295331364,0.5844171099438683,0.06451612903225806,0.08571428571428572,0.13636363636363635,0.08829281325140259,0.125,0.14102564102564102,0.3333333333333333,0.32142496333634435,0.38732394366197187
O=C1C[C@H](Cc2ccccc2)N1C(=O)Nc1ccc(F)cc1,0.09763352353290747,0.6278829703688363,0.03225806451612903,0.02857142857142857,0.045454545454545456,0.042415174993320856,0.1875,0.10256410256410256,0.17647058823529413,0.2504749524010403,0.06056338028169006
