SMILES_CHEMDIV,SMILES_ZINC,Similarity,Mol_ChemDiv,Mol_Zinc
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,0.12389380530973451,M1,M1
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc([C@@H](C)O)cc1,0.14545454545454545,M1,M2
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(Nc2ccc3sc(C)nc3c2)c1=O,0.1282051282051282,M1,M3
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.14678899082568808,M1,M4
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CC(C)[C@@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.2073170731707317,M1,M5
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,0.12605042016806722,M1,M6
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CC(C)[C@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.2073170731707317,M1,M7
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCCN2CCCC2=O)c1=O,0.1391304347826087,M1,M8
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,0.16521739130434782,M1,M9
CC(C)c1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(F)c2)c2ccccc23)cc1,C[C@H](c1ccc(N(C)C)cc1)N1C(=O)N[C@H](CC2CCCCC2)C1=O,0.16279069767441862,M1,M10
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,0.12931034482758622,M2,M1
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc([C@@H](C)O)cc1,0.1111111111111111,M2,M2
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(Nc2ccc3sc(C)nc3c2)c1=O,0.12396694214876033,M2,M3
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.12173913043478261,M2,M4
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CC(C)[C@@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.17045454545454544,M2,M5
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,0.14049586776859505,M2,M6
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CC(C)[C@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.17045454545454544,M2,M7
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCCN2CCCC2=O)c1=O,0.125,M2,M8
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,0.14049586776859505,M2,M9
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cccc(C)c2)c2ccccc23)cc1Cl,C[C@H](c1ccc(N(C)C)cc1)N1C(=O)N[C@H](CC2CCCCC2)C1=O,0.10638297872340426,M2,M10
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,0.10526315789473684,M3,M1
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc([C@@H](C)O)cc1,0.10619469026548672,M3,M2
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(Nc2ccc3sc(C)nc3c2)c1=O,0.12931034482758622,M3,M3
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.11711711711711711,M3,M4
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CC(C)[C@@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.18072289156626506,M3,M5
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,0.11764705882352941,M3,M6
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CC(C)[C@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.18072289156626506,M3,M7
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(F)c2)C(=O)CS3(=O)=O)c1,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCCN2CCCC2=O)c1=O,0.13043478260869565,M3,M8
