SMILES,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CC(C)[C@H](NC(=O)c1cc2cc(F)ccc2[nH]1)C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1,709.8440000000002,4.269300000000004,2.0,9.0,13.0,143.31,6.0,52.0,0.425,1.0302604026596545,5.58
COc1cc2c(cc1OC)S(=O)(=O)OC(C(=O)N[C@H](C=O)Cc1ccccc1)C2,419.45500000000015,1.260199999999999,1.0,7.0,7.0,108.0,3.0,29.0,0.3,1.7975622853318802,7.29
O=C(CF)CNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnnc2ccccc12,346.29,3.391800000000001,2.0,5.0,4.0,97.16,2.0,23.0,0.1666666666666666,1.9236647889725755,6.72
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,479.5210000000002,1.8603000000000005,4.0,6.0,12.0,150.89999999999998,0.0,33.0,0.7619047619047619,5.575037623915833,5.05
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCC(O)c1ccc(Oc2ccccc2)cc1,603.7160000000002,4.220200000000003,4.0,7.0,16.0,143.05999999999997,3.0,44.0,0.3529411764705882,1.4845249244099243,7.0
COC(=O)Cn1cc(COC[C@@H](C#N)NC(=O)[C@H](Cc2cccc(Br)c2)NC(=O)c2ccc(-c3ccccc3)cc2)nn1,475.6300000000002,3.5882000000000014,3.0,5.0,14.0,113.6,1.0,34.0,0.6153846153846154,2.8401052583948,7.17
Cc1noc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc12,326.3200000000001,0.8046799999999994,2.0,9.0,4.0,132.89999999999998,3.0,24.0,0.2857142857142857,1.837901233292164,7.8
CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1=O)S(=O)(=O)c1ccc(OC)cc1,420.51300000000026,3.039980000000001,2.0,4.0,4.0,98.22,5.0,31.0,0.5416666666666666,1.360881371349237,7.18
O=c1ccc2[n+]([O-])c3ccc([O-])cc3oc-2c1.[Na+],398.4690000000001,3.615500000000001,3.0,6.0,5.0,107.97,4.0,27.0,0.0,1.8297873470872428,6.54
O=C(NCCNc1ccc(F)cc1)[C@H](CC1CCCCC1)Nc1nc2cc(F)ccc2o1,482.5280000000001,3.2484800000000016,3.0,5.0,9.0,125.07999999999998,2.0,33.0,0.3636363636363636,2.30659934306414,5.08
N#CC(Cc1ccc2c(c1)c(=O)[nH]c1ccc(Cl)cc12)NC(=O)[C@H]1N[C@@H]2CC[C@H]1C2,469.5450000000002,2.26488,4.0,5.0,6.0,126.88,6.0,35.0,0.4074074074074074,1.257641266588678,8.22
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC(=O)N(c4ccccc4OC)[C@H]3C2)cc1,466.30100000000016,4.425780000000003,2.0,3.0,7.0,64.92,3.0,29.0,0.3333333333333333,1.8706432518850689,10.1
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1,382.4600000000001,2.863800000000001,2.0,4.0,9.0,84.5,2.0,28.0,0.3181818181818182,1.9046057469716653,7.4
CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](CC1CCCCC1)[C@H](O)[C@@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)N(C)Cc1ccccn1)C(C)C,733.9140000000002,3.721070000000005,8.0,6.0,20.0,198.53,4.0,54.0,0.3095238095238095,1.4391973238671514,8.22
N=C1/C(=C/c2cn(Cc3ccccc3)c3ccccc23)C(=O)N=C2SC(SCc3ccccc3)=NN12,666.7759999999998,-1.3567999999999922,4.0,8.0,13.0,193.91,3.0,48.0,0.4411764705882353,2.566145067137873e-06,5.21
CN1CCN(N(C)c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1,534.7300000000005,4.337280000000003,2.0,7.0,7.0,101.36,5.0,38.0,0.5862068965517241,1.1933870409989191,6.05
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1CN(S(=O)(=O)c2cnc(Cl)c(Br)c2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,696.2270000000002,1.8661000000000008,3.0,11.0,11.0,189.23,5.0,47.0,0.6666666666666666,1.4211008576664992,7.17
Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1cccc(Cl)c1)C(=O)NCC#N,477.5420000000003,3.043200000000001,0.0,6.0,7.0,96.88,5.0,34.0,0.24,1.3835431982361608,6.7
COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O,269.325,3.4052000000000024,0.0,4.0,1.0,43.1,4.0,19.0,0.2,1.9976840129187217,5.72
O=C1C(=O)N(Cc2ccc(OCCF)cc2)c2ccc(S(=O)(=O)N3CC[C@H]3COc3cccnc3)cc21,541.5890000000003,3.2797600000000022,0.0,8.0,8.0,136.62,5.0,39.0,0.2142857142857142,1.4581224633048755,8.44
Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)c1,581.7140000000003,3.4331000000000023,3.0,8.0,14.0,138.96,3.0,42.0,0.5161290322580645,1.5157982909716334,8.77
CCCCNC(=O)C(=O)[C@H](CCC)NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2Cl)CN1C(=O)C1(c2ncc(Cl)cc2F)CC1,738.8160000000003,2.295400000000001,6.0,9.0,18.0,234.37,3.0,52.0,0.3333333333333333,1.891170139365246,8.53
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1c[nH]cn1,404.5580000000002,3.874880000000004,1.0,4.0,7.0,59.370000000000005,3.0,30.0,0.44,1.7912403322464248,7.82
CCOC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,428.4850000000002,1.8880999999999992,3.0,6.0,8.0,113.96,3.0,31.0,0.4347826086956521,1.6614105792386449,7.51
