SMILES,MW,logP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,Smiles,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index
CCOC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)cc1,477.056147544,3.6720000000000024,1.0,7.0,115.32000000000001,7.0,,,,,
CCOC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)CC)ncc2Cl)cc1,397.04991929199997,2.3526000000000007,1.0,7.0,115.32000000000001,6.0,,,,,
CCOC(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,383.03426922799997,1.9625000000000001,1.0,7.0,115.32000000000001,5.0,,,,,
CCOC(=O)c1ccc(NC(=O)c2ccc(Cl)nc2)cc1,304.061469956,3.1640000000000015,1.0,4.0,68.29,4.0,,,,,
CCOC(=O)c1ccc(NC(=O)c2ccc(S(=O)(=O)N(CCCl)CCCl)cc2)cc1,472.06264816399994,3.5839000000000034,1.0,5.0,92.78000000000002,10.0,,,,,
CCOC(=O)c1ccc(NC(=O)c2ccc3c(c2)N(Cc2ccccc2)C(=O)CS3=O)cc1,462.12494280399994,3.770000000000003,1.0,5.0,92.78000000000002,6.0,,,,,
CCOC(=O)c1ccc(NC(=O)Nc2ccc3nc(S(C)(=O)=O)sc3c2)cc1,419.06096264399997,3.520500000000002,2.0,7.0,114.46,5.0,,,,,
CCOC(=O)c1ccc(NC(=O)CC2C(=O)Nc3ccccc3N2C(=O)/C=C/c2ccccc2)cc1,483.1794209,4.259200000000003,2.0,5.0,104.80999999999999,7.0,,,,,
CCOC(=O)c1ccc(NC(=O)CSc2ccc(S(=O)(=O)c3ccccc3)nn2)cc1,457.07661270799997,3.2169000000000016,1.0,8.0,115.32000000000001,8.0,,,,,
CCOC(=O)c1ccc(NC(=O)CSc2ccc(S(=O)(=O)c3ccc(C)cc3)nn2)cc1,471.09226277199997,3.5253200000000025,1.0,8.0,115.32000000000001,8.0,,,,,
CCOC(=O)c1ccc(NC(=O)CSc2ccc(S(=O)(=O)c3cccc(F)c3)nn2)cc1,475.06719089599994,3.3560000000000016,1.0,8.0,115.32000000000001,8.0,,,,,
CCOC(=O)c1ccc(NC(=O)CSc2ccc(S(=O)(=O)C3CCCCC3)nn2)cc1,463.12356289999997,3.4905000000000017,1.0,8.0,115.32000000000001,8.0,,,,,
CCOC(=O)c1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1,356.08307799199997,2.878400000000001,1.0,6.0,77.4,5.0,,,,,
CCOC(=O)c1ccc(NC(=O)CCl)cc1,241.050570924,2.0406,1.0,3.0,55.400000000000006,4.0,,,,,
CCOC(=O)c1ccc(NC(=O)CCCn2sc3ccccc3c2=O)cc1,384.11437811999997,3.6586000000000025,1.0,6.0,77.4,7.0,,,,,
Cc1cccc(CC(=O)NCCc2ccc(F)cc2)c1,271.137242416,3.0355200000000018,1.0,1.0,29.1,5.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C=C/c2ccc(C)o2)cc1,299.115758024,3.4166200000000018,1.0,4.0,68.54,5.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C=C/c2ccc(OC)cc2)cc1,325.131408088,3.5238000000000023,1.0,4.0,64.63000000000001,6.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C=C/c2cc(Br)ccc2OC)cc1,403.04192015599995,4.286300000000003,1.0,4.0,64.63000000000001,6.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C(=C/c2cccc(Br)c2)NC(=O)c2ccco2)cc1,482.04773380800003,4.628400000000003,2.0,5.0,97.64,7.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C(=C\c2ccc3c(c2)OCO3)NC(=O)c2ccccc2)cc1,458.14778642399995,4.001600000000003,2.0,6.0,102.96,7.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C(C#N)=C\c2ccccc2)cc1,320.116092372,3.4089800000000023,1.0,4.0,79.19000000000001,5.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C(C#N)=C/c2ccc(-c3ccc(Cl)cc3)o2)cc1,420.087684704,5.322380000000003,1.0,5.0,92.33,6.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C(C#N)=C/c2ccc(OC)cc2)cc1,350.126657056,3.417580000000002,1.0,5.0,88.42000000000002,6.0,,,,,
CCOC(=O)c1ccc(-n2sc3ccccc3c2=O)cc1,299.061614276,3.228900000000001,0.0,5.0,48.3,3.0,,,,,
CCOC(=O)c1ccc(N/N=C/c2ccc(-c3cc([N+](=O)[O-])ccc3Cl)o2)cc1,413.077848292,5.130900000000002,1.0,7.0,106.96999999999998,7.0,,,,,
CCOC(=O)c1ccc(N2N=C(C)/C(=C\c3cccn3-c3ccc([N+](=O)[O-])cc3)C2=O)cc1,444.1433697399999,4.368300000000003,0.0,7.0,107.04,6.0,,,,,
CCOC(=O)c1ccc(N2N=C(C)/C(=C/c3cccn3-c3ccc(S(N)(=O)=O)cc3)C2=O)cc1,478.131090804,3.1075000000000017,1.0,7.0,124.06000000000002,6.0,,,,,
CCOC(=O)c1ccc(N2N=C(C(F)(F)F)/C(=C/c3cccn3-c3ccc(S(N)(=O)=O)cc3)C2=O)cc1,532.102825368,3.6499000000000024,1.0,7.0,124.06000000000002,6.0,,,,,
CCOC(=O)c1ccc(N2C(=O)CC(NC3CCN(c4ccc(Cl)nn4)CC3)C2=O)cc1,457.15168192799996,2.1971999999999996,1.0,8.0,104.73,6.0,,,,,
CCOC(=O)c1ccc(N2C(=O)C=C(n3cnc4cc(C)c(C)cc43)C2=O)cc1,389.137556088,3.2441400000000025,0.0,6.0,81.50000000000001,4.0,,,,,
CCOC(=O)c1ccc(N2C(=O)C=C(NCCc3ccc(OC)cc3)C2=O)cc1,394.152871804,2.4613000000000005,1.0,6.0,84.94000000000001,8.0,,,,,
CCOC(=O)c1ccc(N2C(=O)C=C(N3CCOCC3)C2=O)cc1,330.121571676,0.9525999999999999,0.0,6.0,76.15,4.0,,,,,
CCOC(=O)c1ccc(N2C(=O)C=C(N3CCC(c4nc5ccccc5s4)CC3)C2=O)cc1,461.14092721599997,4.109700000000004,0.0,7.0,79.81000000000002,5.0,,,,,
CCOC(=O)c1ccc(N2C(=O)C=CC2=O)cc1,245.068807832,1.2927,0.0,4.0,63.68000000000001,3.0,,,,,
CCOC(=O)c1ccc(N2NC(=O)/C(=C/c3cccn3-c3ccc(S(N)(=O)=O)cc3)C2=O)cc1,480.11035535999997,1.7627999999999995,2.0,7.0,140.79999999999998,6.0,,,,,
CCOC(=O)c1ccc(/N=c2\ssc3c2-c2cc(OCC)ccc2NC3(C)C)cc1,440.12283462799996,5.945000000000005,1.0,7.0,59.92,5.0,,,,,
CCOC(=O)c1ccc(/N=c2\ssc3c2-c2cc(OC)ccc2NC3(C)C)cc1,426.10718456399997,5.554900000000004,1.0,7.0,59.92,4.0,,,,,
CCOC(=O)c1ccc(/N=c2\ssc3c2-c2cc(C)ccc2NC3(C)C)cc1,410.112269944,5.854720000000005,1.0,6.0,50.69,3.0,,,,,
CCOC(=O)c1ccc(/N=c2\ssc3c2-c2cc(C)c(C)cc2NC3(C)C)cc1,424.127920008,6.163140000000005,1.0,6.0,50.69,3.0,,,,,
CCOC(=O)c1ccc(/N=c2\ssc3c2-c2cc(OC)ccc2N(C(=O)c2ccc([N+](=O)[O-])cc2)C3(C)C)cc1,575.1184775199999,6.698000000000006,0.0,9.0,111.34,6.0,,,,,
CCOC(=O)c1ccc(/N=c2/ssc3c2-c2ccccc2NC3(C)C)cc1,396.09661988,5.546300000000004,1.0,6.0,50.69,3.0,,,,,
CCOC(=O)c1ccc(-c2ccc(C=O)o2)cc1,244.073558864,2.9358000000000013,0.0,4.0,56.510000000000005,4.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=c3\sc4nc(/C=C/c5ccccc5)nn4c3=O)o2)cc1,469.10962708799997,4.305800000000003,0.0,8.0,86.7,6.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C/c3nn4cnnc4c(O)c3[N+](=O)[O-])o2)cc1,421.10223319999994,3.345200000000002,1.0,10.0,145.89000000000001,6.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(/C#N)C(=O)Nc3ccc(C)cc3C)o2)cc1,414.157957184,5.285820000000004,1.0,5.0,92.33,6.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(/C#N)C(=O)Nc3ccc(N(C)C)cc3)o2)cc1,429.168856216,4.734980000000004,1.0,6.0,95.57000000000001,7.0,,,,,
CCOC(=O)c1ccc(NC(=O)/C(C#N)=C\c2ccc(-c3ccc(C(=O)OCC)cc3)o2)cc1,458.14778642399995,4.845680000000004,1.0,7.0,118.63,8.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(/C#N)C(=O)NCCO)o2)cc1,354.121571676,2.1387799999999997,2.0,6.0,112.56,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3cccc(C(=O)OCC)c3)o2)cc1,458.14778642399995,4.845680000000004,1.0,7.0,118.63,8.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccc(C)cc3)o2)cc1,400.14230712,4.977400000000004,1.0,5.0,92.33,6.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3cccc(C)c3)o2)cc1,400.14230712,4.977400000000004,1.0,5.0,92.33,6.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3cc([N+](=O)[O-])ccc3C)o2)cc1,445.12738532799995,4.885600000000004,1.0,7.0,135.46999999999997,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccccc3OC)o2)cc1,416.13722174,4.677580000000003,1.0,6.0,101.56,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccccc3C(=O)O)o2)cc1,430.11648629599995,4.367180000000002,2.0,6.0,129.63,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccc(C)cc3[N+](=O)[O-])o2)cc1,445.12738532799995,4.885600000000004,1.0,7.0,135.46999999999997,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccc(C)cc3OC)o2)cc1,430.152871804,4.986000000000004,1.0,6.0,101.56,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccc(Oc4ccccc4)cc3)o2)cc1,478.152871804,6.461280000000005,1.0,6.0,101.56,8.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccc(OCC)cc3)o2)cc1,430.152871804,5.067680000000005,1.0,6.0,101.56,8.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3ccc(Cl)c([N+](=O)[O-])c3)o2)cc1,465.0727629119999,5.2305800000000024,1.0,7.0,135.46999999999997,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3cc([N+](=O)[O-])ccc3Cl)o2)cc1,465.0727629119999,5.230580000000003,1.0,7.0,135.46999999999997,7.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)Nc3c(C)cccc3Cl)o2)cc1,434.103334768,5.630800000000003,1.0,5.0,92.33,6.0,,,,,
CCOC(=O)c1ccc(-c2ccc(/C=C(\C#N)C(=O)NC(C)(C)C)o2)cc1,366.157957184,3.944980000000003,1.0,5.0,92.33,5.0,,,,,
CCOC(=O)c1ccc2oc(CCl)nc2c1,239.03492086,2.7433000000000014,0.0,4.0,52.33,3.0,,,,,
CCOC(=O)c1ccc2nc(NC(=O)/C=C/c3ccc([N+](=O)[O-])cc3)sc2c1,397.07324158,4.033100000000002,1.0,7.0,111.42999999999999,6.0,,,,,
CCOC(=O)c1ccc2c(c1)nc(SCc1ccc3nc(C(F)(F)F)cc(Cl)c3c1)n2Cc1ccccn1,556.0947592200001,7.169000000000005,0.0,7.0,69.9,7.0,,,,,
CCOC(=O)c1ccc2c(c1)nc(SCc1ccc3nc(C(F)(F)F)cc(Cl)c3c1)n2Cc1ccco1,545.078774808,7.367000000000005,0.0,7.0,70.15,7.0,,,,,
CCOC(=O)c1ccc2c(c1)nc(SCc1ccc3nc(C(F)(F)F)cc(Cl)c3c1)n2CCc1ccc(OC)cc1,599.1257250000001,7.977000000000007,0.0,7.0,66.24000000000001,9.0,,,,,
CCOC(=O)c1ccc(-n2c(-c3ccccn3)nc3ccccc32)c(NC(=O)c2cc(Cl)nc(OC)c2)c1,527.1360318640001,5.573500000000004,1.0,8.0,108.23,7.0,,,,,
CCOC(=O)c1cc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)ccc1N1CCOCC1,433.10406303999997,3.5138000000000025,1.0,7.0,111.01000000000002,6.0,,,,,
C#CCOc1ccc2c(c1)c(C(=O)OCC)c(C)n2-c1ccccc1,333.136493468,4.127620000000003,0.0,4.0,40.46,5.0,,,,,
C#CCOc1ccc2c(c1)c(C(=O)OCC)c(C)n2-c1ccc(OCC)cc1,377.162708216,4.526320000000005,0.0,5.0,49.69,7.0,,,,,
CCOC(=O)c1c(C)n(-c2ccc(OC)cc2)c2ccc(OC(=O)C#Cc3ccccc3)cc12,453.157622836,5.081320000000004,0.0,6.0,66.76,5.0,,,,,
CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)/C=C/c3ccccc3)cc12,425.162708216,5.7344200000000045,0.0,5.0,57.53,6.0,,,,,
CCOC(=O)c1c(C)n(-c2ccc(C)cc2C)c2ccc(OC(=O)/C=C/c3ccccc3)cc12,453.194008344,6.351260000000006,0.0,5.0,57.53,6.0,,,,,
