"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL5127";"Poliovirus type 1 polyprotein";"P03300";"SINGLE PROTEIN";"Human poliovirus 1 Mahoney";"20";"20";"12081";"False"
"CHEMBL2111357";"Calpain 1";"P04632|P07384";"PROTEIN COMPLEX";"Homo sapiens";"175";"176";"9606";"False"
"CHEMBL3351205";"Peptidase 1";"P16311";"SINGLE PROTEIN";"Dermatophagoides farinae";"2";"2";"6954";"False"
"CHEMBL1741213";"Sentrin-specific protease 7";"Q9BQF6";"SINGLE PROTEIN";"Homo sapiens";"989";"1073";"9606";"False"
"CHEMBL3147";"Calpain 1/2";"P00789";"SINGLE PROTEIN";"Gallus gallus";"3";"3";"9031";"False"
"CHEMBL3612";"Calpain 2";"Q27971";"SINGLE PROTEIN";"Bos taurus";"3";"3";"9913";"False"
"CHEMBL1250372";"Probable cathepsin C";"Q8IIJ9";"SINGLE PROTEIN";"Plasmodium falciparum 3D7";"4";"4";"36329";"False"
"CHEMBL2857";"Human rhinovirus A protease";"Q4U254";"SINGLE PROTEIN";"Human rhinovirus sp.";"814";"1343";"169066";"False"
"CHEMBL5801";"Cysteine protease falcipain-2";"Q9NBD4";"SINGLE PROTEIN";"Plasmodium falciparum";"66";"149";"5833";"False"
"CHEMBL1741221";"Cysteine protease ATG4B";"Q9Y4P1";"SINGLE PROTEIN";"Homo sapiens";"662";"978";"9606";"False"
"CHEMBL1795087";"Ubiquitin carboxyl-terminal hydrolase 1";"O94782";"SINGLE PROTEIN";"Homo sapiens";"22322";"22556";"9606";"False"
"CHEMBL1293295";"Ubiquitin carboxyl-terminal hydrolase 14";"P54578";"SINGLE PROTEIN";"Homo sapiens";"20";"28";"9606";"False"
"CHEMBL4072";"Cathepsin B";"P07858";"SINGLE PROTEIN";"Homo sapiens";"2900";"3781";"9606";"False"
"CHEMBL4779";"Papain";"P00784";"SINGLE PROTEIN";"Carica papaya";"699";"844";"3649";"False"
"CHEMBL1949492";"Legumain";"O89017";"SINGLE PROTEIN";"Mus musculus";"23";"23";"10090";"False"
"CHEMBL2517";"Cathepsin F";"Q9UBX1";"SINGLE PROTEIN";"Homo sapiens";"66";"66";"9606";"False"
"CHEMBL2069160";"Cathepsin K";"Q3ZKN1";"SINGLE PROTEIN";"Canis familiaris";"2";"2";"9615";"False"
"CHEMBL1909484";"Sentrin-specific protease 1";"Q9P0U3";"SINGLE PROTEIN";"Homo sapiens";"433";"646";"9606";"False"
"CHEMBL3559678";"Genome polyprotein";"Q91H74";"SINGLE PROTEIN";"Dengue virus 2";"138";"200";"11060";"False"
"CHEMBL1075050";"Dipeptidyl peptidase 1";"Q3ZCJ8";"SINGLE PROTEIN";"Bos taurus";"5";"5";"9913";"False"
"CHEMBL2157851";"Ubiquitin carboxyl-terminal hydrolase 47";"Q96K76";"SINGLE PROTEIN";"Homo sapiens";"48";"52";"9606";"False"
"CHEMBL1075276";"Caspase-4";"P70343";"SINGLE PROTEIN";"Mus musculus";"2";"3";"10090";"False"
"CHEMBL5832";"Cathepsin B-like cysteine protease";"Q6R7Z5";"SINGLE PROTEIN";"Trypanosoma brucei";"88";"88";"5691";"False"
"CHEMBL1075277";"Cathepsin K";"P55097";"SINGLE PROTEIN";"Mus musculus";"13";"16";"10090";"False"
"CHEMBL3430905";"Caspase-3/Caspase-7";"P42574|P55210";"PROTEIN FAMILY";"Homo sapiens";"49";"57";"9606";"False"
"CHEMBL2223";"Gamma-glutamyl hydrolase";"Q92820";"SINGLE PROTEIN";"Homo sapiens";"4";"4";"9606";"False"
"CHEMBL4097";"Cathepsin L2";"Q94715";"SINGLE PROTEIN";"Paramecium tetraurelia";"3";"10";"5888";"False"
"CHEMBL4523939";"Sortase A";"Q8CM62";"SINGLE PROTEIN";"Streptococcus mutans";"4";"4";"1309";"False"
"CHEMBL3038466";"Calpain1/2";"P17655|P07384";"PROTEIN FAMILY";"Homo sapiens";"8";"14";"9606";"False"
